
[2018-06-06 16:30:43.279] 53|-1.010;-0.082;0.101|0.7;-0.2;2.8|-135.0;82.7;39.4|3
[2018-06-06 16:30:43.373] 54|-1.010;-0.082;0.099|0.5;-0.4;3.0|-135.1;82.7;39.4|2
[2018-06-06 16:30:43.467] 55|-1.009;-0.083;0.100|0.5;-0.1;3.1|-135.0;82.7;39.4|3
[2018-06-06 16:30:43.576] 56|-1.009;-0.083;0.100|0.5;-0.3;3.1|-135.0;82.7;39.4|2
[2018-06-06 16:30:43.670] 57|-1.009;-0.083;0.101|0.5;-0.3;3.1|-135.0;82.7;39.4|3
[2018-06-06 16:30:43.779] 58|-1.010;-0.083;0.099|0.6;-0.3;3.1|-135.0;82.7;39.4|2
[2018-06-06 16:30:43.876] 59|-1.009;-0.083;0.100|0.5;-0.3;2.9|-135.0;82.7;39.4|3
[2018-06-06 16:30:43.970] 60|-1.009;-0.083;0.100|0.6;-0.3;3.0|-135.0;82.7;39.4|2
[2018-06-06 16:30:44.079] 61|-1.009;-0.083;0.100|0.5;-0.2;3.0|-135.0;82.7;39.5|3
[2018-06-06 16:30:44.173] 62|-1.009;-0.083;0.100|0.6;-0.3;3.1|-135.0;82.7;39.5|2
[2018-06-06 16:30:44.282] 63|-1.009;-0.083;0.100|0.6;-0.3;3.1|-135.0;82.7;39.5|3
[2018-06-06 16:30:44.376] 64|-1.009;-0.083;0.100|0.6;-0.2;3.1|-135.0;82.7;39.5|2
[2018-06-06 16:30:44.485] 65|-1.009;-0.083;0.100|0.5;-0.1;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:44.579] 66|-1.009;-0.082;0.100|0.6;-0.3;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:44.673] 67|-1.010;-0.083;0.101|0.6;-0.2;3.2|-134.9;82.7;39.5|3
[2018-06-06 16:30:44.782] 68|-1.010;-0.082;0.099|0.6;-0.3;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:44.876] 69|-1.009;-0.082;0.101|0.6;-0.2;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:44.985] 70|-1.009;-0.083;0.100|0.6;-0.3;3.1|-134.9;82.7;39.5|2
[2018-06-06 16:30:45.079] 71|-1.009;-0.083;0.100|0.5;-0.2;3.0|-135.0;82.7;39.5|3
[2018-06-06 16:30:45.188] 72|-1.010;-0.083;0.100|0.4;-0.2;3.1|-135.0;82.7;39.5|2
[2018-06-06 16:30:45.282] 73|-1.009;-0.082;0.100|0.6;-0.3;3.2|-135.0;82.7;39.5|3
[2018-06-06 16:30:45.376] 74|-1.010;-0.083;0.101|0.6;-0.3;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:45.485] 75|-1.009;-0.083;0.100|0.6;-0.1;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:45.579] 76|-1.010;-0.082;0.101|0.5;-0.3;3.0|-135.0;82.7;39.5|2
[2018-06-06 16:30:45.688] 77|-1.009;-0.082;0.099|0.6;-0.3;3.1|-134.9;82.7;39.5|3
[2018-06-06 16:30:45.782] 78|-1.009;-0.082;0.100|0.6;-0.3;3.1|-135.0;82.7;39.5|2
[2018-06-06 16:30:45.892] 79|-1.010;-0.083;0.100|0.6;-0.3;3.1|-135.0;82.7;39.5|3
[2018-06-06 16:30:45.985] 80|-1.009;-0.083;0.100|0.5;-0.2;3.1|-135.0;82.7;39.5|2
[2018-06-06 16:30:46.095] 81|-1.010;-0.084;0.101|0.6;-0.3;3.0|-135.0;82.7;39.5|3
[2018-06-06 16:30:46.188] 82|-1.009;-0.082;0.100|0.6;-0.2;3.1|-135.0;82.7;39.5|2
[2018-06-06 16:30:46.282] 83|-1.010;-0.083;0.101|0.7;-0.3;3.0|-134.9;82.7;39.5|3
[2018-06-06 16:30:46.392] 84|-1.009;-0.083;0.100|0.5;-0.3;3.1|-135.0;82.7;39.5|2
[2018-06-06 16:30:46.485] 85|-1.009;-0.082;0.101|0.6;-0.1;3.3|-135.0;82.7;39.5|3
[2018-06-06 16:30:46.595] 86|-1.010;-0.083;0.100|0.6;-0.2;3.1|-135.0;82.7;39.5|2
[2018-06-06 16:30:46.688] 87|-1.009;-0.083;0.100|0.7;-0.3;2.8|-135.0;82.7;39.5|3
[2018-06-06 16:30:46.798] 88|-1.009;-0.082;0.100|0.6;-0.2;3.0|-135.0;82.7;39.5|2
[2018-06-06 16:30:46.891] 89|-1.010;-0.082;0.099|0.6;-0.2;2.9|-134.9;82.7;39.5|3
[2018-06-06 16:30:46.985] 90|-1.009;-0.083;0.100|0.6;-0.2;3.0|-134.9;82.7;39.5|2
[2018-06-06 16:30:47.095] 91|-1.009;-0.083;0.100|0.4;-0.3;3.1|-134.9;82.7;39.5|3
