

[2018-06-06 15:04:52.772] 47|-1.005;-0.032;0.130|0.6;-1.7;2.8|-171.9;81.0;7.0|0
[2018-06-06 15:04:52.788] 48|-1.021;-0.033;0.131|0.6;-1.4;3.1|-171.9;81.0;7.5|0
[2018-06-06 15:04:52.803] 49|-1.008;-0.041;0.135|0.7;-0.1;3.7|-171.2;81.1;7.5|0
[2018-06-06 15:04:52.803] 50|-0.999;-0.036;0.132|0.7;-1.0;3.3|-171.0;81.2;7.4|0
[2018-06-06 15:04:52.819] 51|-1.001;-0.034;0.135|0.5;-1.2;2.8|-170.9;81.2;7.5|0
[2018-06-06 15:04:52.834] 52|-1.006;-0.039;0.132|0.8;-1.0;3.1|-170.1;81.3;7.9|0
[2018-06-06 15:04:52.834] 53|-1.002;-0.037;0.132|0.6;-1.2;3.1|-169.6;81.4;8.2|0
[2018-06-06 15:04:52.850] 54|-1.009;-0.035;0.134|0.6;-0.4;3.0|-168.8;81.4;8.7|0
[2018-06-06 15:04:52.866] 55|-1.009;-0.038;0.133|0.6;-1.1;3.4|-168.3;81.5;8.9|0
[2018-06-06 15:04:52.866] 56|-1.014;-0.036;0.132|0.7;-1.1;3.0|-167.7;81.6;9.2|0
[2018-06-06 15:04:52.881] 57|-0.996;-0.035;0.134|0.7;-0.9;3.0|-167.3;81.6;9.5|0
[2018-06-06 15:04:52.897] 58|-1.013;-0.040;0.130|0.8;-1.1;2.9|-167.0;81.6;9.7|0
[2018-06-06 15:04:52.897] 59|-1.008;-0.038;0.132|0.7;-1.1;2.9|-166.6;81.6;10.0|0
[2018-06-06 15:04:52.913] 60|-1.005;-0.037;0.138|0.6;-0.5;3.1|-166.3;81.7;10.2|0
[2018-06-06 15:04:52.928] 61|-1.015;-0.035;0.130|0.6;-0.9;2.9|-165.8;81.7;10.5|0
[2018-06-06 15:04:52.928] 62|-1.018;-0.031;0.136|0.7;-0.5;3.0|-165.6;81.7;10.8|0
[2018-06-06 15:04:52.944] 63|-1.003;-0.038;0.136|0.7;-0.7;3.1|-165.4;81.8;10.9|0
[2018-06-06 15:04:52.959] 64|-1.006;-0.034;0.122|0.5;-2.1;3.0|-165.2;81.8;10.9|0
[2018-06-06 15:04:52.959] 65|-1.018;-0.032;0.130|0.5;-0.8;2.9|-165.0;81.8;11.2|0
[2018-06-06 15:04:52.975] 66|-1.001;-0.033;0.123|0.6;-2.2;3.4|-164.3;81.8;11.3|0
[2018-06-06 15:04:52.991] 67|-1.011;-0.031;0.129|0.5;-1.2;3.2|-164.1;81.8;11.4|0
[2018-06-06 15:04:53.006] 68|-1.010;-0.031;0.138|0.4;0.0;3.0|-163.5;81.9;11.5|0
[2018-06-06 15:04:53.006] 69|-1.009;-0.038;0.132|0.5;-1.2;3.4|-163.3;81.9;11.5|0
[2018-06-06 15:04:53.022] 70|-1.003;-0.039;0.130|0.5;-1.4;3.4|-163.2;81.9;11.6|0
[2018-06-06 15:04:53.038] 71|-1.007;-0.038;0.132|0.5;-0.3;3.4|-163.0;82.0;11.8|0
[2018-06-06 15:04:53.038] 72|-1.001;-0.039;0.128|0.8;-1.3;3.4|-162.8;82.0;12.0|0
[2018-06-06 15:04:53.053] 73|-0.998;-0.040;0.130|0.8;-0.8;3.2|-162.5;82.0;12.2|0
[2018-06-06 15:04:53.069] 74|-0.999;-0.039;0.130|0.6;-0.6;3.0|-162.3;82.0;12.4|0
[2018-06-06 15:04:53.069] 75|-0.998;-0.041;0.131|0.7;-0.8;3.1|-162.1;82.0;12.6|0
[2018-06-06 15:04:53.084] 76|-1.001;-0.041;0.135|0.7;-0.6;3.1|-161.9;82.0;12.8|0
[2018-06-06 15:04:53.100] 77|-1.005;-0.038;0.136|0.6;-0.7;3.1|-161.7;82.0;13.0|0
[2018-06-06 15:04:53.100] 78|-1.007;-0.036;0.138|0.7;-0.7;2.9|-161.6;82.0;13.2|0
[2018-06-06 15:04:53.116] 79|-1.009;-0.035;0.136|0.6;-0.9;3.0|-161.6;82.0;13.3|0
[2018-06-06 15:04:53.131] 80|-1.009;-0.031;0.135|0.6;-0.8;2.9|-161.6;82.0;13.4|0
[2018-06-06 15:04:53.131] 81|-1.009;-0.030;0.133|0.6;-0.9;3.0|-161.5;82.0;13.4|0
[2018-06-06 15:04:53.147] 82|-1.007;-0.030;0.132|0.7;-0.9;3.1|-161.5;82.0;13.4|0
[2018-06-06 15:04:53.163] 83|-1.009;-0.031;0.132|0.5;-0.7;3.3|-161.4;82.1;13.4|0
[2018-06-06 15:04:53.163] 84|-1.007;-0.034;0.134|0.5;-0.8;3.2|-161.3;82.1;13.4|0
[2018-06-06 15:04:53.178] 85|-1.005;-0.037;0.132|0.7;-0.9;3.4|-161.3;82.1;13.3|0
[2018-06-06 15:04:53.194] 86|-1.005;-0.039;0.134|0.8;-1.0;3.3|-161.2;82.1;13.4|0
